,Date,10am,12pm,2pm,4pm,6pm,8pm,10pm,12am
1,10/16/2018,3,8,10,8,8,6,5,5
2,10/17/2018,3,7,9,6,8,5,4,3
3,10/18/2018,1,5,7,8,9,4,2,2
4,10/17/2018,1,1,4,7,6,7,5,5
5,10/18/2018,3,4,3,7,8,5,3,3
6,10/19/2018,2,8,7,8,7,6,4,2
7,10/20/2018,2,5,7,6,7,9,4,3
8,10/21/2018,4,5,6,5,7,9,10,8
9,10/22/2018,5,4,8,7,9,10,5,6
10,10/23/2018,3,5,5,6,5,6,4,3
11,10/24/2018,3,5,4,8,6,6,5,2
12,10/25/2018,4,6,4,7,6,8,5,5
13,10/26/2018,0,4,7,8,10,5,6,4
14,10/27/2018,2,8,5,6,7,6,7,4
15,10/28/2018,3,6,6,8,7,8,5,4
16,10/29/2018,0,4,5,7,5,8,5,6
17,10/30/2018,4,5,8,7,9,4,6,3
18,10/31/2018,3,7,7,6,8,7,10,6
19,11/1/2018,0,4,5,6,3,7,6,5
20,11/2/2018,3,5,7,6,8,10,12,5
21,11/3/2018,4,5,7,8,7,10,6,6
22,11/4/2018,3,5,4,6,8,7,6,3
23,11/5/2018,2,5,6,7,6,5,6,4
24,11/6/2018,3,7,7,8,10,6,5,5
25,11/7/2018,1,4,7,8,7,7,3,4
26,11/8/2018,2,5,6,8,6,9,6,3
